I  pron.我
a  art.一(个)；每一(个)
go  vi.离开；变成；运行；被放置；流通
to  prep.向，往；对；比；直到…为止
at  prep.在…时；在…中；在…方面；向，朝
as  conj.由于；像 prep.作为 ad.同样地
me  pron.[I的宾格]我
on  a.连接上 prep.在…上；靠近 ad.向前，继续
do  aux.v.构成疑、否句 vt.做；学习 vi.做
ad  n.=advertisement 广告
in  prep.在…里；在…期间；在…之内
my  pron.[I的所有格]我的
us  pron.我们[we的宾格]
we  pron.我们
so  ad.那么；非常；也；不错 conj.因而；所以
hi  int.[表示问候或引起注意]喂，嘿
or  conj.或，或者；不然，否则；或者说，即
no  ad.不；并不 a.毫不；并非；不许 n.不
ox  n.牛；公牛
be  aux.v.&vi.是，在，就是
of  prep.…的，(属于)…的；在…之中
by  prep.靠近；不迟于 ad.在近旁
he  pron.他
out  ad.在外；彻底地；明显的 prep.通过
bay  n.海湾
bit  n.一点；比特(二进位制信息单位)
up  ad.向上；起来 prep.向(高处)
if  conj.如果，假如；是否
her  pron.[she的宾格/所有格]她的
fax  n.传真
our  pron.[we的所有格]我们的
car  n.车，汽车；(火车)车厢
day  n.一日；白天
bid  vt./n.投标，(拍卖时的)出价
via  prep.经，经由，通过
tip  n.梢，末端，尖端；小费 v.给小费
tea  n.茶(叶)；午后茶点
hen  n.母鸡，雌禽
ore  n.矿石，矿砂
tin  n.锡；罐头
big  a.大的；重要的；宽宏大量的；大受欢迎的
rob  vt.抢劫；非法剥夺，使丧失
gap  n.缺口，裂口；间隔，空白；差距
ten  num.十
dye  n.颜料，染料 vt.染，染色
far  a.远的，久远的，遥远的 ad.远；到…程度
mat  n.席子，垫子
tie  n.领带；关系 vt.捆；与…打成平局
war  n.战争，战斗
own  vt.拥有 a.自己的
wax  n.蜡，蜂蜡 vt.给…打蜡
tag  n.标签，标牌
way  n.道路；方向；方法；距离；点
hot  a.热的，炎热的；辣的；急躁的；热衷的
cup  n.杯子；奖杯；一杯(的容量)；高尔夫球球洞
fan  n.扇子，风扇；爱好者 vt.扇；成扇形展开
map  n.图，地图
and  conj. 和，而且；那么，然后；加
ant  n.蚁
may  n.五月
cap  n.帽子，盖子 vt.盖住；胜过，优于
him  pron.[he的宾格]他
dam  n.堤，坝 vt.筑坝
any  a.一些；任何的 pron.任何一个，无论哪个
fat  n.脂肪 a.肥胖的，脂肪多的
hip  n.臀部
owe  vt.欠…的钱；把…归功于；应感谢 vi.欠钱
cut  v.&n.切，割；削减
sea  n.海，洋；大量
hit  n.击中 v.打中；碰撞；达到
toy  n.玩具
his  pron.[he的所有格/物主代词]他的(所有物)
May  n.五月
run  vi.跑；(车辆)行驶 vt.跑过 n.(赛)跑
beg  v.乞讨，乞求
raw  a.生的；未加工的；未经训练的
fit  a.适当的；健康的 v.使适合；安装 n.病发作
fix  vt.使固定；安排；修理；准备(食物等)
ray  n.光线，射线
sad  a.悲伤的，忧愁的
mix  vt.混合；调制 vi.相混合 n.混合(物)
gay  a.快乐的；鲜艳的；同性恋的 n.同性恋者
sun  n.太阳，阳光，恒星
top  n.顶；最上位 a.最高的 vt.在…之首
cat  n.猫，猫科动物
rug  n.小地毯；毛毯
get  vt.获得；使得；感染(疾病) vi.到达
two  num.二
mug  n.(有柄的)大杯
mud  n.泥，泥浆
sum  n.总数；金额；概要；算术 vi.总计
fly  n.苍蝇，飞行 vi.飞；乘飞机 vt.驾驶(飞机)
rub  v.擦，摩擦；擦亮 n.擦，磨
god  n.神；上帝
bed  n.床；花坛；河床
fog  n.雾气，雾 v.以雾笼罩，被雾笼罩
dot  n.点，小数点 vt.打点于，好缀；敲打
row  n.(一)排 v.划(船) n.吵架，口角
ask  vt.问；请求，邀请 vi.问；要求
say  v.说；说明 n.发言，意见；发言权
tax  n.税(款) vt.对…征税
van  n.有篷货车，运货车
saw  n.锯子 v.锯开
try  vt.尝试，试；审问 vi./n.尝试，努力
gas  n.煤气，可燃气；气体；汽油
rod  n.棍，棒
hay  n.干草
bet  n.打赌，赌注 v.打赌，赌；确信，敢说
due  a.预定的；应得的，应有的；到期的
few  n.&a.很少(的)，几乎没有(的)
one  num.一个 pron.一个人 a.一个的；某一…的
dry  a.干的；口渴的；干巴巴的 v.(使)变干
hat  n.帽子
arm  n.手臂；支架；(pl.)武器 vt.武装，装备
tap  n.塞子 vt.开发 v./n.轻叩，轻拍
gum  n.口香糖
gun  n.枪，炮
use  vt.运用；用途
oil  n.油，食油；石油 vt.给…涂(上)油
rat  n.老鼠
ash  n.灰，灰末；(pl.)骨灰；(pl.)废墟
old  a.年老的；…岁的；长时间的；过去的
ham  n.火腿；无线电收发报业余爱好者
toe  n.足尖，脚趾
ton  n.吨(重量单位)
art  n.艺术，美术；技艺，技术；文科；艺术品
guy  n.(男)人，家伙
gym  n.体育馆；健身房
ear  n.耳朵，耳状物；听力，听觉
but  conj.但是 prep.除…以外 ad.仅仅
net  n.网状物；罗网 vt.用网去捕 a.净的，纯的
ban  vt.禁止
act  vi.行动；起作用 vt.扮演 n.行为；法令
pin  n.别针；胸针 vt.(用别针)别住
lap  n.膝部；(跑道的)一圈
sky  n.天，天空
new  a.新的；没经验的；重新开始的；新发现的
lab  (=laboratory) n.实验室
dim  a.昏暗；模糊不清的 vt.使暗淡
pit  n.坑；深渊；陷井；煤矿
bus  n.公共汽车
lag  n.落后，滞后 vi.落后，走得慢
ski  n.滑雪板，滑橇 vi.滑雪
lad  n.男孩，少年，小伙子
put  vt.放；记下；表达；使…进入(状态)
she  pron.她
box  n.盒子，箱子；(戏院的)包厢
boy  n.男孩；侍者，服务员
pet  n.宠物，宠儿
ink  n.墨水，油墨
leg  n.腿(部)
dig  v.挖，探究 n.捅；发掘的地点或遗迹
the  art.这，那
wit  n.机智；(pl.)智力；(pl.)健全的头脑
law  n.法律；法规，法制；定律，规律
lay  v.铺设；产(卵)；布置 a.世俗的；外行的
pie  n.馅饼
pig  n.猪
six  num.六
yet  conj.然而 ad.到目前为止；更；还
bar  n.酒吧；横木；障碍；(B)律师业　vt.闩上
you  pron.你；你们；一个人，任何人
kid  n.小孩，小伙子
pot  n.罐，壶，盆
era  n.纪元，时代，年代
yes  ad.是，是的
joy  n.喜欢，欢乐；乐趣，趣事
nod  v.&n.点头；表示同意；打瞌睡
nor  conj.也不，也没有
key  n.钥匙；键；关键；答案 a.关键的
fox  n.狐狸；狡猾的人
shy  a.害羞的；胆怯的
not  ad.不，不是，不会
red  a.红的，红色的 n.红色；红色衣服
cop  n.警察
its  pron.[it的所有格]它的
sir  n.先生；(S-)(用于姓名前)…爵士
pub  n.小酒吧，小旅馆
sit  v.坐下；使坐下
dip  vt.浸，泡 vi.浸；沉落；浏览
jam  n.果酱；堵塞 vt.压紧；突然用力推
end  n.端，末梢；目标；结束 vt.终止，结束
jet  n.喷射；喷射流 vi.乘喷气式飞机旅行；喷射
job  n.工作，职位；零活，一件工作；任务，职责
sin  n.罪孽 vi.犯罪
jar  n.罐子，坛子 v.使受刺激，使震动
jaw  n.颚，颌；夹 v.喋喋不休，教训
low  a.卑鄙的；俗的；低速的 ad.向下 n.低点
now  ad.现在；立刻 n.现在 conj.既然
set  vt.放；调整 vi.(日、月等)落下；凝结
bad  a.坏的；有害的；严重的
die  vi.死，死亡；(草木)枯萎，凋谢；渴望
lot  n.许多，大量；签，抽签
aim  n.目的；瞄准 vi.(at)目的在于 vt.把…瞄准
aid  n.帮助；助手；救护 vt.帮助；急救
cow  n.母牛，奶牛
air  n.大气，空气；态度，神态 vt.通风
wet  a.湿的；多雨的 vt.把…打湿 n.雨；潮气
bag  n.袋，口袋；手提包，钱包
sow  vt.播种；散布，传播 vi.播种
fun  n.娱乐，乐趣；嬉戏，顽皮；有趣的人或事物
can  n.容器；听，罐头 vt.(把食品)装罐
bat  n.球拍；蝙蝠 v.用棒击，打击球
cry  n.&v.叫，喊，哭；(鸟兽)叫，啼，鸣，嗥
cue  n.(给演员等所作的)提示，提词；暗示，指引
how  ad.如何，怎样；多少，多么
man  n.男人；人，人类
pad  n.垫，衬垫 vt.加衬垫，填塞
fur  n.软毛；皮毛；(pl.)皮衣
rid  vt.使摆脱，使排除
mad  a.发疯的；恼火的；极愚蠢的，狂妄的
eat  v.吃
ice  n.冰；冰冻甜食 vt.冰冻，使成冰
for  prep.为了；给；代替；向；支持 conj.因为?
nut  n.坚果；螺母
hut  n.小屋，棚屋
son  n.儿子
lip  n.嘴唇
let  vt.让，允许；设，使；出租
fry  v.油煎，油炸
pat  n.轻轻拍打 v.轻拍，轻打
buy  v.买，购买；收买
cab  n.出租马车
why  ad.&conj.为什么；…的理由 int.哎呀
pen  n.钢笔，蘸水笔
lid  n.盖(子)
lie  vi.躺，平放；位于 v.说谎 n.谎话，假话
sew  v.缝纫
ago  a.&ad.以前，…前
per  prep.每；经，由，靠
pan  n.平底锅
bow  n.弓；蝴蝶结 v.鞠躬，点头；用弓拉琴
win  vt.赢得；在…中获胜 vi.赢 n.胜利
age  n.年龄；时代；老年；长时间 v.(使)变老
sex  n.性别；性
log  n.原木，圆木；航海(飞行)日志
dog  n.狗，雄兽 vt.尾随，跟踪
rag  n.破布；(pl.)破烂衣服；低劣的报纸
paw  n.爪
rib  n.肋骨
who  pron.谁
pea  n.豌豆
pay  v.支付，缴纳；付清；给予 n.薪水，工钱
dive  n.跳水；潜水；俯冲；低级夜总会 vi.跳水
real  a.真的；现实的
dorm  n.宿舍
rely  vi.依靠
quiz  n.小测验；猜谜或问答节目 vt.进行测验
race  n.民族；比赛 vi.全速前进 vt.和…比速度
rack  n.架，行李架
pure  a.纯粹的；纯净的；无邪的；完全的
push  v.推，推动；促使，催促 n.推；突袭
quit  vt.离开，退出；停止，放弃 vi.离开；辞职
raid  v.&n.袭击；突然搜查
rail  n.栏杆，围栏；铁轨；(pl.)铁路
echo  n./v.回声，回响；共鸣
edit  vt.编辑
rage  n.大怒 vi.发怒；(指暴风雨等)猛烈地进行
port  n.港口
pose  v.摆好姿势；提出(问题) n.姿势
post  n.邮政；柱；岗位 v.公布；投寄
pork  n.猪肉
pour  v.灌，倒，注，流出；蜂拥
pray  v.祈祷；渴望，祈求
emit  vt.散发，发射
easy  a.容易的；舒适的，安逸的
drop  n.滴；下降；微量；落差 v.(使)滴下；下降
drip  vi.滴下，漏水 n.水滴
duck  n.鸭，鸭肉
drum  n.鼓(声)；鼓状物；鼓膜
drug  n.药品；麻醉品，毒品 vt.用药麻醉
down  ad.向下 prep.沿着…往下 a.向下(方)的
read  v.阅读；看懂；明白
dose  n.(药的)剂量，一服 v.给(药)；(给…)服药
draw  v.画；抽取；汲取；拉 n.平局；图画；绘画
rate  n.比率；等级；价格 vt.评级；列为
drag  n.拖，拉 v.拖；缓慢地移动；故意拖延
earn  vt.挣得，获得
each  a.各自的，每 pron.每个，各自
duty  n.职责；义务；税，关税
rain  n.雨；雨天 vi.下雨 vt.使…如雨而下
east  n.&a.东，东方 ad.在东方，向东方
dump  vt.倾倒；(向国外市场)倾销 n.垃圾场
dumb  a.哑的；沉默的；笨的
dust  n.尘土 v.去掉灰土
dusk  n.黄昏
rank  n.军衔；等级；排 vt.评级 vi.列入
disk  n.圆盘，唱片；磁盘
crew  n.(全体)船员，机组人员，乘务员
spin  vi.编织，杜撰；(使)旋转；结网，吐丝
sour  a.酸的；脾气坏的，刻薄的
span  n.一段时间；跨度
spit  vi.吐唾沫(痰) vt.吐出 n.唾液；吐痰
self  n.自己，本身；私心
crop  n.庄稼；收成；一批 vt.收割 vi.收成，耕种
send  vt.送；派遣；促使 vi.寄信；派人
soup  n.汤，羹
sole  n.脚底，鞋底 a.唯一的；独占的，专有的
some  pron.一些；有些 a.一些 ad.大约；稍微
soft  a.柔软的；温柔的；不含酒精的；光滑的
soil  vt.弄脏 n.泥土，土壤 vi.变脏
song  n.歌曲
sort  n.种类 vt.排序，分类，整理
soul  n.心灵，灵魂；人；精华，中心人物
sore  a.疼的；痛心的 n.痛处，疮口
spot  n.点；地点 vt.认出；玷污 vi.沾上污点
stay  vi.停留；保持 n.停留，逗留
cold  a.寒冷的；冷淡的 n.伤风，感冒；寒冷
seat  n.座位，座席 vt.使入座，使就座
seal  n.封条；图章 vt.密封；盖章于 n.海豹
coin  n.硬币，钱币 vt.杜撰(新词等)；铸造
coat  n.上衣，外套；涂层；动物的毛皮 v.涂上
coil  v.卷，盘绕 n.(一)卷；圈，圈线
code  n.法规；代码 v.把…译成电码；把…编成号
curl  v.(使)卷曲 n.卷发；卷曲物
cube  n.立方体，立方形；立方 vt.使自乘两次
spur  n.马刺；激励 vt.鞭策，鼓舞，促进
come  vi.来，到来；出现；成为，是
comb  vt.梳，梳理 n.梳子
cure  v.&n.治愈，治疗
star  n.恒星；明星 vt.用星号标出 vi.扮演主角
sing  v.唱，歌唱；嗡嗡作响，鸣响；吟咏，歌颂
sink  v.(使)下沉；降低 n.(厨房中的)洗涤槽
cope  "vi.竞争；应付, 处理
size  n.大小，尺寸；尺码；量，额
copy  n.抄本；(书的)一册 v.抄写；复印；复制
site  n.所在地，场所 vt.使处于某处
ship  vt.用船装运
shoe  n.鞋
shut  v.关(闭)；闭上，停业
sick  a.生病的；恶心的；厌倦的，不耐烦的
show  n.表演；展览(物) vt.出示；带领 vi.显现
shot  n.射击；投篮；炮弹；拍摄镜头
side  n.(旁)边；方面，性质 vi.站在…的一边
shop  n.商店；工场，车间 v.购买
silk  n.丝，绸
sigh  n.叹息 vi.叹气
sign  n.符号；标牌；征兆 v.签(署)
cord  n.绳，线；纺织品；小电线；腱
snow  n.雪，下雪 vi.下雪；如雪一般地落下
soak  v.浸湿，浸透
cost  n.成本；代价 v.花费；使失去(生命等)
snap  n.咬；折断 v.咬住；(使)突然折断
soap  n.肥皂
soda  n.苏打；汽水
sofa  n.长沙发
soar  vi.高飞，翱翔；高涨，猛增
sock  n.(pl.)短袜
shed  vt.脱落，脱去；流(泪、血)；(散)发出
core  n.果心；核心，要点
slam  v.砰地关上，砰地放下
skim  vt.浏览，快读；掠过 vi.掠过；浏览
skin  n.皮肤；毛皮；外皮 vt.去…的皮
slap  n.耳光，掌击 vt.打…一巴掌
slip  vi.滑倒；溜走；犯错误 n.失误；滑倒
slow  ad.慢的，缓慢的；迟钝的 v.(使)放慢
corn  n.谷物；(美)玉米；(英)小麦
slim  a.苗条的；微少的，不充实地
damn  int.该死 vt.遣责；使失败 a.十足的 ad.极
chat  vt.聊天，闲谈
rope  n.绳子，索；一串(珠宝)；吊刑，绞刑
suck  v.吸，吮
rose  n.玫瑰，蔷薇；玫瑰色，玫瑰红
suit  vt.适合；中…的意 n.一套衣服；诉讼
desk  n.书桌，服务台
such  a.如此的；如此 pron.这样的人(或事物)
chip  n.片屑；缺口；马铃薯片 v.弄出缺口
chin  n.下巴，颏
rust  n.锈 v.生锈；(脑子)衰退
rush  v.赶忙；催促 n.冲；急忙；急流
deny  vt.否认；拒绝给予
chew  v.咀嚼
rude  a.粗糙的；粗鲁的；猛烈的
rule  vt./vi.统治；裁决 n.规则；习惯；支配
ruin  vt./vi.毁灭；(使)破产 n.毁灭；(pl.)废墟
rich  a.富有的；丰富的；肥沃的 n.(pl.)财富
rice  n.稻米，米饭
ride  n.乘车，骑马 v.乘，骑
diet  n.饮食，食物；规定饮食 v.(使)节食
dirt  n.尘，土，污物；下流话，脏话
rent  n.租金 vt.租用；出租 vi.出租
dish  n.碟，盘；菜肴，一道菜
rest  n.剩余部分；其余的人
disc  n.圆盘，唱片，磁盘，圆面；盘状软骨
ring  n.电话；铃声 vt.打电话 vi.按铃
road  n.道路，途径
role  n.角色；作用，任务
rock  n.岩石；摇摆 vt.摇动；使震惊 vi.摇动
risk  n./vt.(冒)风险
dial  n.(钟表等的)针盘；刻度盘 v.拨(电话号码)
riot  n.骚乱，暴动 vi.闹事，骚乱
rise  n.升高；上涨 vi.上升，上涨；起床
ripe  a.成熟的
deaf  a.聋的；不愿听的
date  n.日期；约会 vt.给…注明日期 vi.(from)起
dawn  n.黎明；开始 vi.破晓；开始出现
deal  vt.处理，对付；分给，给予 n.交易
claw  n.爪
stir  vt.调合；激起 vi.微动 n.微动；轰动
dear  a.亲爱的；珍贵的；昂贵的 int.啊 n.亲爱的
clay  n.粘土，泥土
clue  n.线索，提示
club  n.俱乐部；棍棒，球棒 v.用棍棒打
coal  n.煤，煤块
damp  n./a.潮湿(的) v.打湿
stem  n.茎，干；柄，把，颈 vi.起源于
dark  a.黑暗的；深色的；秘密的 n.黑暗，暗处
dash  vt.猛冲 vi.猛冲 n.猛冲；短跑；破折号
step  n.步，脚步(声)；步骤 vi.跨步，走
dare  vt.敢，竟敢；向…挑战，激 aux.v.胆敢，敢
debt  n.债务
salt  n.盐，氯化钠 vt.腌，加盐
sale  n.出售，卖；贱卖；(pl.)销售额
sand  n.沙；(pl.)沙滩 vt.(尤指用沙纸)磨光
same  a.相同的 pron.同样的人或事
sake  n.缘故，理由
chop  n.排骨，肉块；砍击 v.砍，劈，斩
sack  n.袋；解雇；床 vt.解雇；掠夺
sail  n.帆；风车翼板 v.航行，乘船旅行；启航
safe  a.安全的 n.保险箱
cite  v.引用，引证；传讯
scan  n.浏览，扫描 v.浏览，扫描
clap  v.拍，拍手(喝彩) v.掌声，劈雳声
stop  n.停止；公共汽车站 vt.阻止 vi.停止
deck  n.甲板；桥面，层面
save  v.拯救；储蓄；保留；节省 prep.除了
city  n.城市，都市
pond  n.池塘
half  n.&ad.&a.一半(地/的)
hair  n.头发，毛发
gulf  n.海湾；隔阂，鸿沟
